Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,HW,HL,HD,HAW,HAL,HAD,Qualification,iran,South Korea,Syria, Uzbekistan, China PR, Qatar,,,,
1, Portugal,10,9,0,1,32,4,28,27,5,0,0,4,1,0,Qualification to 2018 FIFA World Cup,—,2–0,3–0,5–1,4–1,6–0,,,,
2,  Switzerland,10,9,0,1,23,7,16,27,5,0,0,4,1,0,Advance to second round,2–0,—,5–2,2–0,1–0,3–0,,,,
3, Hungary,10,4,1,5,14,14,0,13,3,2,0,1,3,1,,0–1,2–3,—,1–0,3–1,4–0,,,,
4, Faroe Islands,10,2,3,5,4,16,_12,9,1,2,2,1,3,1,,0–6,0–2,0–0,—,0–0,1–0,,,,
5, Latvia,10,2,1,7,7,18,_11,7,1,4,0,1,3,1,,0–3,0–3,0–2,0–2,—,4–0,,,,
6, Andorra,10,1,1,8,2,23,_21,4,1,3,1,0,5,0,,0–2,1–2,1–0,0–0,0–1,—,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,HW,HL,HD,HAW,HAL,HAD,Qualification, Germany, Northern Ireland, Czech Republic, Norway, Azerbaijan, San Marino,,,,
1, Germany,10,10,0,0,43,4,39,30,5,0,0,5,0,0,Qualification to 2018 FIFA World Cup,—,2–0,3–0,6–0,5–1,7–0,,,,
2, Northern Ireland,10,6,1,3,17,6,11,19,4,1,0,2,2,1,Advance to second round,1–3,—,2–0,2–0,4–0,4–0,,,,
3, Czech Republic,10,4,3,3,17,10,7,15,2,1,2,2,2,1,,1–2,0–0,—,2–1,0–0,5–0,,,,
4, Norway,10,4,1,5,17,16,1,13,3,1,1,1,4,0,,0–3,1–0,1–1,—,2–0,4–1,,,,
5, Azerbaijan,10,3,1,6,10,19,_9,10,2,3,0,1,3,1,,1–4,0–1,1–2,1–0,—,5–1,,,,
6, San Marino,10,0,0,10,2,51,_49,0,0,5,0,0,5,0,,0–8,0–3,0–6,0–8,0–1,—,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,HW,HL,HD,HAW,HAL,HAD,Qualification, Serbia, Republic of Ireland, Wales, Austria, Georgia, Moldova,,,,
1, Serbia,10,6,3,1,20,10,10,21,3,0,2,3,1,1,Qualification to 2018 FIFA World Cup,—,2–2,1–1,3–2,1–0,3–0,,,,
2, Republic of Ireland,10,5,4,1,12,6,6,19,2,1,2,3,1,1,Advance to second round,0–1,—,0–0,1–1,1–0,2–0,,,,
3, Wales,10,4,5,1,13,6,7,17,2,1,2,2,0,3,,1–1,0–1,—,1–0,1–1,4–0,,,,
4, Austria,10,4,3,3,14,12,2,15,2,1,2,2,2,1,,3–2,0–1,2–2,—,1–1,2–0,,,,
5, Georgia,10,0,5,5,8,14,_6,5,0,3,2,0,2,3,,1–3,1–1,0–1,1–2,—,1–1,,,,
6, Moldova,10,0,2,8,4,23,_19,2,0,4,1,0,4,1, ,0–3,1–3,0–2,0–1,2–2,—,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,HW,HL,HD,HAW,HAL,HAD,Qualification, Poland, Denmark, Montenegro, Romania, Armenia, Kazakhstan,,,,
1, Poland,10,8,1,1,28,14,14,25,5,0,0,3,1,1,Qualification to 2018 FIFA World Cup,—,3–2,4–2,3–1,2–1,3–0,,,,
2, Denmark,10,6,2,2,20,8,12,20,3,1,1,3,1,1,Advance to second round,4–0,—,0–1,1–1,1–0,4–1,,,,
3, Montenegro,10,5,1,4,20,12,8,16,3,2,0,2,2,1,,1–2,0–1,—,1–0,4–1,5–0,,,,
4, Romania,10,3,4,3,12,10,2,13,2,1,2,1,2,2,,0–3,0–0,1–1,—,1–0,3–1,,,,
5, Armenia,10,2,1,7,10,26,_16,7,2,3,0,0,4,1,,1–6,1–4,3–2,0–5,—,2–0,,,,
6, Kazakhstan,10,0,3,7,6,26,_20,3,0,2,3,0,5,0,,2–2,1–3,0–3,0–0,1–1,—,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,HW,HL,HD,HAW,HAL,HAD,Qualification, England, Slovakia, Scotland, Slovenia, Lithuania, Malta,,,,
1, England,10,8,2,0,18,3,15,26,5,0,0,3,0,2,Qualification to 2018 FIFA World Cup,—,2–1,3–0,1–0,2–0,2–0,,,,
2, Slovakia,10,6,0,4,17,7,10,18,4,1,0,2,3,0,,0–1,—,3–0,1–0,4–0,3–0,,,,
3, Scotland,10,5,3,2,17,12,5,18,3,0,2,2,2,1,,2–2,1–0,—,1–0,1–1,2–0,,,,
4, Slovenia,10,4,3,3,12,7,5,15,3,0,2,1,3,1,,0–0,1–0,2–2,—,4–0,2–0,,,,
5, Lithuania,10,1,3,6,7,20,_13,6,1,3,1,0,3,2,,0–1,1–2,0–3,2–2,—,2–0,,,,
6, Malta,10,0,1,9,3,25,_22,1,0,4,1,0,5,0,,0–4,1–3,1–5,0–1,1–1,—,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
os,Team,Pld,W,D,L,GF,GA,GD,Pts,HW,HL,HD,HAW,HAL,HAD,Qualification, Spain, Italy, Albania, Israel, Macedonia, Liechtenstein,,,,
1, Spain,10,9,1,0,36,3,33,28,5,0,0,4,0,1,Qualification to 2018 FIFA World Cup,—,3–0,3–0,4–1,4–0,8–0,,,,
2, Italy,10,7,2,1,21,8,13,23,3,0,2,4,1,0,Advance to second round,1–1,—,2–0,1–0,1–1,5–0,,,,
3, Albania,10,4,1,5,10,13,_3,13,2,3,0,2,2,1,,0–2,0–1,—,0–3,2–1,2–0,,,,
4, Israel,10,4,0,6,10,15,_5,12,1,4,0,3,2,0,,0–1,1–3,0–3,—,0–1,2–1,,,,
5, Macedonia,10,3,2,5,15,15,0,11,1,3,1,2,2,1,,1–2,2–3,1–1,1–2,—,4–0,,,,
6, Liechtenstein,10,0,0,10,1,39,_38,0,0,5,0,0,5,0,,0–8,0–4,0–2,0–1,0–3,—,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
os,Team,Pld,W,D,L,GF,GA,GD,Pts,HW,HL,HD,HAW,HAL,HAD,Qualification, Belgium, Greece, Bosnia and Herzegovina, Estonia, Cyprus, Gibraltar,,,,
1, Belgium,10,9,1,0,43,6,37,28,4,0,1,5,0,0,Qualification to 2018 FIFA World Cup,—,1–1,4–0,8–1,4–0,9–0,,,,
2, Greece,10,5,4,1,17,6,11,19,2,1,2,3,0,2,Advance to second round,1–2,—,1–1,0–0,2–0,4–0,,,,
3, Bosnia and Herzegovina,10,5,2,3,24,13,11,17,3,1,1,2,2,1,,3–4,0–0,—,5–0,2–0,5–0,,,,
4, Estonia,10,3,2,5,13,19,_6,11,2,3,0,1,2,2,,0–2,0–2,1–2,—,1–0,4–0,,,,
5, Cyprus,10,3,1,6,9,18,_9,10,2,2,1,1,4,0,,0–3,1–2,3–2,0–0,—,3–1,,,,
6, Gibraltar,10,0,0,10,3,47,_44,0,0,5,0,0,5,0,,0–6,1–4,0–4,0–6,1–2,—,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,HW,HL,HD,HAW,HAL,HAD,Qualification, Iceland, Croatia, Ukraine, Turkey, Finland, Kosovo,,,,
1, Iceland,10,7,1,2,16,7,9,22,5,0,0,2,2,1,Qualification to 2018 FIFA World Cup,—,1–0,2–0,2–0,3–2,2–0,,,,
2, Croatia,10,6,2,2,15,4,11,20,3,2,0,3,2,0,Advance to second round,2–0,—,1–0,1–1,1–1,1–0,,,,
3, Ukraine,10,5,2,3,13,9,4,17,3,1,1,2,2,1,,1–1,0–2,—,2–0,1–0,3–0,,,,
4, Turkey,10,4,3,3,14,13,1,15,3,1,1,1,2,2,,0–3,1–0,2–2,—,2–0,2–0,,,,
5, Finland,10,2,3,5,9,13,_4,9,1,2,2,1,3,1,,1–0,0–1,1–2,2–2,—,1–1,,,,
6, Kosovo,10,0,1,9,3,24,_21,1,0,5,0,0,4,1,,1–2,0–6,0–2,1–4,0–1,—,,,,
